Albert Abreu, albert-abreu-656061
Bryan Abreu, bryan-abreu-650556
Jose Abreu, jose-abreu-547989
Ronald Acuna Jr., ronald-acuna-jr-660670
Jason Adam, jason-adam-592094
Willy Adames, willy-adames-642715
Austin Adams, austin-adams-613534
Chance Adams, chance-adams-664856
Matt Adams, matt-adams-571431
Jo Adell, jo-adell-666176
Ehire Adrianza, ehire-adrianza-501303
Jesus Aguilar, jesus-aguilar-542583
Nick Ahmed, nick-ahmed-605113
Keegan Akin, keegan-akin-669211
Shogo Akiyama, shogo-akiyama-673451
Hanser Alberto, hanser-alberto-593643
Ozzie Albies, ozzie-albies-645277
Jorge Alcala, jorge-alcala-660896
Sandy Alcantara, sandy-alcantara-645261
Sergio Alcantara, sergio-alcantara-642727
Scott Alexander, scott-alexander-518397
Tyler Alexander, tyler-alexander-641302
Jorge Alfaro, jorge-alfaro-595751
Anthony Alford, anthony-alford-546990
Kolby Allard, kolby-allard-663465
Austin Allen, austin-allen-664119
Greg Allen, greg-allen-656185
Logan Allen, logan-allen-663531
Abraham Almonte, abraham-almonte-501659
Yency Almonte, yency-almonte-622075
Albert Almora Jr., albert-almora-jr-546991
Pete Alonso, pete-alonso-624413
Dan Altavilla, dan-altavilla-656186
Jose Altuve, jose-altuve-514888
Jose Alvarado, jose-alvarado-621237
Eddy Alvarez, eddy-alvarez-657193
Jose Alvarez, jose-alvarez-501625
Yordan Alvarez, yordan-alvarez-670541
Adbert Alzolay, adbert-alzolay-640470
Brett Anderson, brett-anderson-474463
Brian Anderson, brian-anderson-605119
Chase Anderson, chase-anderson-502624
Drew Anderson, drew-anderson-623454
Ian Anderson, ian-anderson-666120
Nick Anderson, nick-anderson-623433
Shaun Anderson, shaun-anderson-641312
Tim Anderson, tim-anderson-641313
Tyler Anderson, tyler-anderson-542881
Matt Andriese, matt-andriese-542882
Elvis Andrus, elvis-andrus-462101
Miguel Andujar, miguel-andujar-609280
Tejay Antone, tejay-antone-622088
Sherten Apostel, sherten-apostel-665947
Aristides Aquino, aristides-aquino-606157
Jonathan Arauz, jonathan-arauz-660620
Orlando Arcia, orlando-arcia-606115
Nolan Arenado, nolan-arenado-571448
Shawn Armstrong, shawn-armstrong-542888
Randy Arozarena, randy-arozarena-668227
Luis Arraez, luis-arraez-650333
Jake Arrieta, jake-arrieta-453562
Christian Arroyo, christian-arroyo-624414
Willians Astudillo, willians-astudillo-553902
Alex Avila, alex-avila-488671
Luis Avilan, luis-avilan-501593
Dakota Bacus, dakota-bacus-621290
Harrison Bader, harrison-bader-664056
Javier Baez, javier-baez-595879
Michel Baez, michel-baez-673258
Pedro Baez, pedro-baez-520980
Brandon Bailey, brandon-bailey-669064
Homer Bailey, homer-bailey-456701
Anthony Banda, anthony-banda-607455
Caleb Baragar, caleb-baragar-670056
Daniel Bard, daniel-bard-453268
Luke Bard, luke-bard-572703
Scott Barlow, scott-barlow-605130
Austin Barnes, austin-barnes-605131
Jacob Barnes, jacob-barnes-606930
Matt Barnes, matt-barnes-598264
Tucker Barnhart, tucker-barnhart-571466
Franklin Barreto, franklin-barreto-620439
Aaron Barrett, aaron-barrett-502578
Jaime Barria, jaime-barria-642545
Joey Bart, joey-bart-663698
Luis Alexander Basabe, luis-alexander-basabe-642772
Tyler Bashlor, tyler-bashlor-641341
Anthony Bass, anthony-bass-542914
Chris Bassitt, chris-bassitt-605135
Trevor Bauer, trevor-bauer-545333
Jeremy Beasley, jeremy-beasley-676886
Matt Beaty, matt-beaty-607461
David Bednar, david-bednar-670280
Cam Bedrosian, cam-bedrosian-592135
Jalen Beeks, jalen-beeks-656222
Josh Bell, josh-bell-605137
Cody Bellinger, cody-bellinger-641355
Brandon Belt, brandon-belt-474832
Anthony Bemboom, anthony-bemboom-621532
Andrew Benintendi, andrew-benintendi-643217
Wes Benjamin, wes-benjamin-605138
Travis Bergen, travis-bergen-664157
Jose Berrios, jose-berrios-621244
Jon Berti, jon-berti-542932
Dellin Betances, dellin-betances-476454
Mookie Betts, mookie-betts-605141
Joe Biagini, joe-biagini-607352
Bo Bichette, bo-bichette-666182
Phil Bickford, phil-bickford-641360
Jesse Biddle, jesse-biddle-592145
Shane Bieber, shane-bieber-669456
Brandon Bielak, brandon-bielak-656232
Cavan Biggio, cavan-biggio-624415
Braden Bishop, braden-bishop-623323
Ray Black, ray-black-605143
Paul Blackburn, paul-blackburn-621112
Charlie Blackmon, charlie-blackmon-453568
Travis Blankenhorn, travis-blankenhorn-663905
Richard Bleier, richard-bleier-542947
Scott Blewett, scott-blewett-656240
Xander Bogaerts, xander-bogaerts-593428
Alec Bohm, alec-bohm-664761
Ronald Bolanos, ronald-bolanos-671790
Emilio Bonifacio, emilio-bonifacio-466988
Jorge Bonifacio, jorge-bonifacio-593528
Ryan Borucki, ryan-borucki-621366
David Bote, david-bote-623520
James Bourque, james-bourque-630263
Brad Boxberger, brad-boxberger-502202
Matthew Boyd, matthew-boyd-571510
Brad Brach, brad-brach-542960
Silvino Bracho, silvino-bracho-611093
Jackie Bradley Jr., jackie-bradley-jr-598265
Archie Bradley, archie-bradley-605151
Michael Brantley, michael-brantley-488726
Rob Brantly, rob-brantly-542963
Ryan Brasier, ryan-brasier-518489
Steven Brault, steven-brault-643230
Ryan Braun, ryan-braun-460075
Ben Braymer, ben-braymer-664069
Alex Bregman, alex-bregman-608324
Brandon Brennan, brandon-brennan-592165
Colten Brewer, colten-brewer-605155
Austin Brice, austin-brice-592169
Jose Briceno, jose-briceno-593993
Jeff Brigham, jeff-brigham-656257
Lewis Brinson, lewis-brinson-621446
Zack Britton, zack-britton-502154
Connor Brogdon, connor-brogdon-641401
Mike Brosseau, mike-brosseau-670712
Rex Brothers, rex-brothers-571521
Seth Brown, seth-brown-664913
JT Brubaker, jt-brubaker-664141
Jay Bruce, jay-bruce-457803
Kris Bryant, kris-bryant-592178
Kris Bubic, kris-bubic-663460
Ryan Buchter, ryan-buchter-488748
Walker Buehler, walker-buehler-621111
Madison Bumgarner, madison-bumgarner-518516
Aaron Bummer, aaron-bummer-607481
Dylan Bundy, dylan-bundy-605164
Nick Burdi, nick-burdi-595897
Zack Burdi, zack-burdi-641420
Corbin Burnes, corbin-burnes-669203
Beau Burrows, beau-burrows-663366
Drew Butera, drew-butera-460077
Ty Buttrey, ty-buttrey-621142
Byron Buxton, byron-buxton-621439
Asdrubal Cabrera, asdrubal-cabrera-452678
Genesis Cabrera, genesis-cabrera-650893
Miguel Cabrera, miguel-cabrera-408234
Trevor Cahill, trevor-cahill-502239
Lorenzo Cain, lorenzo-cain-456715
Kole Calhoun, kole-calhoun-594777
Willie Calhoun, willie-calhoun-641432
Johan Camargo, johan-camargo-622666
Daz Cameron, daz-cameron-663662
Luis Campusano, luis-campusano-669134
Jeimer Candelario, jeimer-candelario-600869
Mark Canha, mark-canha-592192
Griffin Canning, griffin-canning-656288
Robinson Cano, robinson-cano-429664
Victor Caratini, victor-caratini-605170
Dylan Carlson, dylan-carlson-666185
Matt Carpenter, matt-carpenter-572761
Carlos Carrasco, carlos-carrasco-471911
Cody Carroll, cody-carroll-606944
Curt Casali, curt-casali-592200
Daniel Castano, daniel-castano-641447
Ryan Castellani, ryan-castellani-624418
Humberto Castellanos, humberto-castellanos-528748
Nick Castellanos, nick-castellanos-592206
Diego Castillo, diego-castillo-650895
Luis Castillo, luis-castillo-622491
Anthony Castro, anthony-castro-621593
Harold Castro, harold-castro-605612
Jason Castro, jason-castro-488771
Miguel Castro, miguel-castro-612434
Starlin Castro, starlin-castro-516770
Willi Castro, willi-castro-650489
Jake Cave, jake-cave-595909
Dylan Cease, dylan-cease-656302
Blake Cederlind, blake-cederlind-664977
Francisco Cervelli, francisco-cervelli-465041
Yoenis Cespedes, yoenis-cespedes-493316
Luis Cessa, luis-cessa-570666
Jhoulys Chacin, jhoulys-chacin-468504
Andrew Chafin, andrew-chafin-605177
Yu Chang, yu-chang-644374
Aroldis Chapman, aroldis-chapman-547973
Matt Chapman, matt-chapman-656305
Tyler Chatwood, tyler-chatwood-543022
Jesse Chavez, jesse-chavez-445926
Michael Chavis, michael-chavis-656308
Robinson Chirinos, robinson-chirinos-455139
Yonny Chirinos, yonny-chirinos-630023
Jazz Chisholm, jazz-chisholm-665862
Ji-Man Choi, ji-man-choi-596847
Shin-Soo Choo, shin-soo-choo-425783
Adam Cimber, adam-cimber-643256
Steve Cishek, steve-cishek-518553
Jose Cisnero, jose-cisnero-542585
Aaron Civale, aaron-civale-650644
Taylor Clarke, taylor-clarke-664199
Alex Claudio, alex-claudio-592222
Garrett Cleavinger, garrett-cleavinger-664076
Mike Clevinger, mike-clevinger-605182
Tyler Clippard, tyler-clippard-461325
Alex Cobb, alex-cobb-502171
Kyle Cody, kyle-cody-621129
A.J. Cole, a-j-cole-595918
Gerrit Cole, gerrit-cole-543037
Edwar Colina, edwar-colina-666674
Zack Collins, zack-collins-641470
Alex Colome, alex-colome-517008
Christian Colon, christian-colon-518568
