Rotation,NUM,B/T,HT,WT,DOB,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE,,,,
Madison Bumgarner,40,R/L,"6' 4""",255,08/01/1989,72,58,58,73,30,81,60,79,71,62,41,4SFB,CUT,CB,CH,
Zac Gallen,23,R/R,"6' 2""",198,08/03/1995,86,88,76,57,59,87,70,69,92,44,85,4SFB,KNCV,CH,CUT,
Luke Weaver,24,R/R,"6' 2""",185,08/21/1993,74,51,66,62,62,68,76,74,84,47,96,4SFB,CH,CUT,CB,
Caleb Smith,31,R/L,"6' 0""",206,07/28/1991,74,72,74,50,41,70,72,68,85,48,93,4SFB,SL,CH,2SFB,
Alex Young,49,L/L,"6' 3""",220,09/09/1993,72,68,58,53,56,77,56,68,88,45,38,CUT,SNK,CH,CB,4SFB
Merrill Kelly,29,R/R,"6' 2""",210,10/14/1988,80,66,66,79,50,83,69,67,71,53,83,4SFB,CB,CUT,CH,SNK
Catcher,NUM,B/T,HT,WT,DOB,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING,,,,,
Carson Kelly,18,R/R,"6' 2""",210,07/14/1994,77,40,47,56,67,58,72,73,67,20,0,,,,,
Daulton Varsho,12,L/R,"5' 10""",205,07/02/1996,63,55,47,46,35,35,62,49,61,69,54,,,,,
Stephen Vogt,21,L/R,"6' 0""",211,11/01/1984,69,61,55,64,60,63,49,45,42,40,5,,,,,
First Base,NUM,B/T,HT,WT,DOB,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING,,,,,
Christian Walker,53,R/R,"6' 0""",210,03/28/1991,77,74,55,69,58,55,78,49,79,51,15,,,,,
Pavin Smith,26,L/L,"6' 2""",210,02/06/1996,61,53,45,57,50,49,59,49,48,42,14,,,,,
Stephen Vogt,21,L/R,"6' 0""",211,11/01/1984,69,61,55,64,60,63,49,45,42,40,5,,,,,
Second Base,NUM,B/T,HT,WT,DOB,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING,,,,,
Ketel Marte,4,S/R,"6' 1""",210,10/12/1993,81,62,99,56,69,88,79,78,82,62,17,,,,,
Josh Rojas,10,L/R,"6' 1""",200,06/30/1994,71,45,57,48,40,42,78,69,81,65,46,,,,,
Wyatt Mathisen,27,R/R,"6' 0""",210,12/30/1993,66,55,56,53,63,60,44,57,53,49,35,,,,,
Third Base,NUM,B/T,HT,WT,DOB,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING,,,,,
Eduardo Escobar,5,S/R,"5' 10""",210,01/05/1989,77,47,54,60,53,66,71,80,75,58,10,,,,,
Wyatt Mathisen,27,R/R,"6' 0""",210,12/30/1993,66,55,56,53,63,60,44,57,53,49,35,,,,,
Josh Rojas,10,L/R,"6' 1""",200,06/30/1994,71,45,57,48,40,42,78,69,81,65,46,,,,,
Shortstop,NUM,B/T,HT,WT,DOB,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING,,,,,
Nick Ahmed,13,R/R,"6' 2""",200,03/15/1990,81,62,56,52,55,64,88,73,92,67,18,,,,,
Josh Rojas,10,L/R,"6' 1""",200,06/30/1994,71,45,57,48,40,42,78,69,81,65,46,,,,,
