Rotation,NUM,B/T,HT,WT,DOB,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE,,,,
Lucas Giolito,27,R/R,"6' 6""",245,07/14/1994,89,95,87,53,60,86,73,58,88,46,60,4SFB,CIR,SL,12CV,
Dallas Keuchel,60,L/L,"6' 2""",220,01/01/1988,88,80,52,76,83,88,52,54,69,58,58,2SFB,CUT,CH,SL,4SFB
Dylan Cease,84,R/R,"6' 2""",200,12/28/1995,68,53,72,48,39,77,89,59,74,43,64,4SFB,SL,CB,CH,
Dane Dunning,51,R/R,"6' 4""",225,12/20/1994,77,75,69,57,53,75,66,52,55,35,35,4SFB,SL,CH,CB,2SFB
Catcher,NUM,B/T,HT,WT,DOB,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING,,,,,
Yasmani Grandal,24,S/R,"6' 2""",230,11/08/1988,90,52,84,67,82,38,89,61,86,6,6,,,,,
James McCann,33,R/R,"6' 3""",220,06/13/1990,82,72,95,65,65,52,60,69,53,36,6,,,,,
First Base,NUM,B/T,HT,WT,DOB,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING,,,,,
José Abreu,79,R/R,"6' 3""",250,01/29/1987,96,96,75,97,90,61,74,57,70,42,6,,,,,
Edwin Encarnación,23,R/R,"6' 1""",230,01/07/1983,76,57,48,82,86,50,61,48,45,9,4,,,,,
Second Base,NUM,B/T,HT,WT,DOB,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING,,,,,
Nick Madrigal,1,R/R,"5' 8""",175,03/05/1997,74,80,75,39,41,90,65,60,60,75,16,,,,,
Yolmer Sánchez,5,S/R,"5' 8""",205,06/29/1992,78,62,56,40,30,62,80,74,85,56,22,,,,,
Third Base,NUM,B/T,HT,WT,DOB,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING,,,,,
Yoán Moncada,10,S/R,"6' 2""",225,05/27/1995,81,75,72,73,46,38,70,81,66,61,24,,,,,
Yolmer Sánchez,5,S/R,"5' 8""",205,06/29/1992,78,62,56,40,30,62,80,74,85,56,22,,,,,
Shortstop,NUM,B/T,HT,WT,DOB,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING,,,,,
Tim Anderson,7,R/R,"6' 1""",185,06/23/1993,81,93,99,58,92,65,54,54,53,75,52,,,,,
Yolmer Sánchez,5,S/R,"5' 8""",205,06/29/1992,78,62,56,40,30,62,80,74,85,56,22,,,,,
Left Field,NUM,B/T,HT,WT,DOB,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING,,,,,
Eloy Jiménez,74,R/R,"6' 4""",235,11/27/1996,85,86,80,88,95,55,51,54,51,59,0,,,,,
Adam Engel,15,R/R,"6' 2""",220,12/09/1991,69,35,55,45,37,35,72,78,71,95,45,,,,,
Jarrod Dyson,32,L/R,"5' 9""",165,08/15/1984,73,42,47,40,29,69,92,69,99,70,89,,,,,
Center Field,NUM,B/T,HT,WT,DOB,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING,,,,,
Luis Robert,88,R/R,"6' 2""",210,08/03/1997,82,58,60,85,65,32,87,66,83,92,70,,,,,
Adam Engel,15,R/R,"6' 2""",220,12/09/1991,69,35,55,45,37,35,72,78,71,95,45,,,,,
Nomar Mazara,30,L/L,"6' 4""",215,04/26/1995,67,52,47,59,48,43,60,83,64,40,6,,,,,
Jarrod Dyson,32,L/R,"5' 9""",165,08/15/1984,73,42,47,40,29,69,92,69,99,70,89,,,,,
Right Field,NUM,B/T,HT,WT,DOB,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING,,,,,
Nomar Mazara,30,L/L,"6' 4""",215,04/26/1995,67,52,47,59,48,43,60,83,64,40,6,,,,,
Adam Engel,15,R/R,"6' 2""",220,12/09/1991,69,35,55,45,37,35,72,78,71,95,45,,,,,
Jarrod Dyson,32,L/R,"5' 9""",165,08/15/1984,73,42,47,40,29,69,92,69,99,70,89,,,,,
Designated Hitter,NUM,B/T,HT,WT,DOB,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING,,,,,
Edwin Encarnación,23,R/R,"6' 1""",230,01/07/1983,76,57,48,82,86,50,61,48,45,9,4,,,,,
José Abreu,79,R/R,"6' 3""",250,01/29/1987,96,96,75,97,90,61,74,57,70,42,6,,,,,
Yasmani Grandal,24,S/R,"6' 2""",230,11/08/1988,90,52,84,67,82,38,89,61,86,6,6,,,,,
Bullpen,NUM,B/T,HT,WT,DOB,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE,,,,
Alex Colomé,48,R/R,"6' 1""",225,12/31/1988,76,94,58,57,70,25,76,67,99,54,64,CUT,4SFB,CH,,
Evan Marshall,43,R/R,"6' 2""",235,04/18/1990,65,59,67,41,71,24,83,49,82,42,64,CH,4SFB,SNK,CB,
Matt Foster,63,R/R,"6' 0""",210,01/27/1995,70,70,72,59,53,27,76,49,60,51,34,4SFB,SL,CUT,CH,2SFB
Garrett Crochet,45,L/L,"6' 6""",218,06/21/1999,72,74,67,55,65,25,99,51,93,54,35,4SFB,SL,CH,CB,
Aaron Bummer,39,L/L,"6' 3""",215,09/21/1993,79,88,74,57,75,24,99,66,98,48,64,SNK,CUT,4SFB,SL,
Carlos Rodón,55,L/L,"6' 3""",250,12/10/1992,76,64,68,50,56,85,78,46,90,58,66,4SFB,SL,CH,2SFB,
Jace Fry,57,L/L,"6' 1""",220,07/09/1993,71,80,88,25,68,23,72,34,99,44,64,CUT,CB,2SFB,4SFB,CH
Codi Heuer,65,R/R,"6' 5""",190,07/03/1996,73,82,69,50,69,29,99,51,80,26,27,SNK,SL,CH,4SFB,
Jimmy Cordero,50,R/R,"6' 4""",235,10/19/1991,71,78,58,60,66,26,99,47,58,25,70,SNK,4SFB,CH,SL,
exit,,,,,,,,,,,,,,,,,,,,,
