Rotation,,NUM,B/T,HT,WT,DOB,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE,,,,
,Kyle Hendricks,28,R/R,"6' 3""",190,12/07/1989,86,69,59,88,63,86,43,85,88,71,68,SNK,CH,4SFB,CB,
,Yu Darvish,11,R/R,"6' 5""",220,8/16/1986,91,85,85,79,53,86,77,67,96,56,70,CUT,4SFB,SL,2SFB,12CV
,Jon Lester,34,L/L,"6' 4""",240,01/07/1984,81,63,62,72,56,88,63,58,79,72,92,4SFB,CUT,SCV,CH,SNK
,Alec Mills,30,R/R,"6' 4""",205,11/30/1991,77,68,59,61,64,75,66,45,55,45,57,4SFB,CB,CH,2SFB,SL
Bullpen,,NUM,B/T,HT,WT,DOB,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,,,,,
,Craig Kimbrel,46,R/R,"6' 0""",215,05/28/1988,73,85,90,40,50,25,89,66,99,58,53,4SFB,KNCV,CH,,
,Jeremy Jeffress,24,R/R,"6' 0""",205,09/21/1987,72,72,68,54,67,26,82,67,75,54,63,2SFB,4SFB,KNCV,SPL,
,Kyle Ryan,56,L/L,"6' 5""",215,09/25/1991,67,65,66,40,76,23,56,49,79,43,63,CUT ,SNK,4SFB,CB,
,Dan Winkler,43,R/R,"6' 3""",205,2/2/1990,84,84,85,59,82,23,71,68,86,50,62,CUT,4SFB,CB,2SFB,
,Ryan Tepera,52,R/R,"6' 1""",195,11/03/1987,74,72,72,64,66,25,96,58,78,52,63,CUT,SNK,4SFB,SL,
,Jason Adam,60,R/R,"6' 3""",229,08/04/1991,54,56,64,44,24,25,80,48,61,55,63,4SFB,CH,CB,2SFB,
,Rex Brothers,48,L/L,"6' 0""",205,12/18/1987,68,65,70,42,70,23,79,53,90,35,50,4SFB,SL,2SFB,CH,
,Andrew Chafin,39,R/L,"6' 2""",235,06/17/1990,77,58,86,58,77,21,89,68,99,58,64,SL,SNK,4SFB,,
Catcher,,NUM,B/T,HT,WT,DOB,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING,,,,,
,Willson Contreras,40,R/R,"6' 1""",225,05/13/1992,83,73,67,76,72,47,55,84,46,61,10,,,,,
,Victor Caratini,7,S/R,"6' 1""",215,08/17/1993,74,63,58,55,47,62,67,63,62,17,2,,,,,
First Base,,NUM,B/T,HT,WT,DOB,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING,,,,,
,Anthony Rizzo,44,L/L,"6' 3""",240,08/08/1989,83,67,48,88,58,69,74,69,78,21,13,,,,,
,Victor Caratini,7,S/R,"6' 1""",215,08/17/1993,74,63,58,55,47,62,67,63,62,17,2,,,,,
,Kris Bryant,17,R/R,"6' 5""",230,01/04/1992,85,58,96,68,85,58,62,69,63,67,9,,,,,
Second Base,,NUM,B/T,HT,WT,DOB,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING,,,,,
,Jason Kipnis,27,L/R,"5' 11""",200,04/03/1987,77,70,46,65,46,47,66,49,71,45,21,,,,,
,Nico Hoerner,2,R/R,"6' 1""",200,05/13/1997,69,62,64,42,40,75,60,50,60,75,46,,,,,
,David Bote,13,R/R,"6' 1""",205,04/07/1993,77,61,62,58,57,41,75,69,79,58,13,,,,,
,Ildemaro Vargas,16,S/R,"6' 0""",180,07/16/1991,70,53,59,40,52,76,65,57,68,53,3,,,,,
Third Base,,NUM,B/T,HT,WT,DOB,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING,,,,,
,Kris Bryant,17,R/R,"6' 5""",230,01/04/1992,85,58,96,68,85,58,62,69,63,67,9,,,,,
,David Bote,13,R/R,"6' 1""",205,04/07/1993,77,61,62,58,57,41,75,69,79,58,13,,,,,
