0Rotation,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
Chris Sale,41,L,L,
Eduardo Rodriguez,57,L,L,
Nathan Eovaldi,17,R,R,
Martín Pérez,54,L,L,
Tanner Houck,89,R,R,
Nick Pivetta,37,R,R,
Catcher,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Christian Vázquez,7,R,R,
Kevin Plawecki,25,R,R,
First Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Bobby Dalbec,29,R,R,
Michael Chavis,23,R,R,
Second Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Christian Arroyo,39,R,R,
Michael Chavis,23,R,R,
Yairo Muñoz,60,R,R,
Tzu-Wei Lin,30,L,R,
Dustin Pedroia,15,R,R,
Third Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Rafael Devers,11,L,R,
Bobby Dalbec,29,R,R,
Yairo Muñoz,60,R,R,
Jonathan Araúz,36,S,R,
Michael Chavis,23,R,R,
Shortstop,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Xander Bogaerts,2,R,R,
Jonathan Araúz,36,S,R,
Yairo Muñoz,60,R,R,
Tzu-Wei Lin,30,L,R,
Left Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Andrew Benintendi,16,L,L,
Yairo Muñoz,60,R,R,
Alex Verdugo,99,L,L,
J.D. Martinez,28,R,R,
Michael Chavis,23,R,R,
César Puello,75,R,R,
Center Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Jackie Bradley Jr.,19,L,R,
Alex Verdugo,99,L,L,
Tzu-Wei Lin,30,L,R,
César Puello,75,R,R,
Right Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Alex Verdugo,99,L,L,
Yairo Muñoz,60,R,R,
J.D. Martinez,28,R,R,
César Puello,75,R,R,
Designated Hitter,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
J.D. Martinez,28,R,R,
Bullpen,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
Matt Barnes,32,R,R,
Ryan Brasier,70,R,R,
Darwinzon Hernandez,63,L,L,
Josh Taylor,72,L,L,
Phillips Valdez,71,R,R,
Ryan Weber,65,R,R,
Chris Mazza,22,R,R,
Domingo Tapia,66,R,R,
Zack Godley,68,R,R,
Colten Brewer,48,R,R,
Dylan Covey,46,R,R,
Mike Kickham,74,L,L,
Austin Brice,31,R,R,
exit
