Rotation,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
Sonny Gray,54,R,R,
Luis Castillo,58,R,R,
Trevor Bauer,27,R,R,
Tyler Mahle,30,R,R,
Catcher,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Curt Casali,12,R,R,
Tucker Barnhart,16,L,R,
Kyle Farmer,52,R,R,
First Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Joey Votto,19,L,R,
Second Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Mike Moustakas,9,L,R,
Kyle Farmer,52,R,R,
Freddy Galvis,3,S,R,
Third Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Eugenio Suárez,7,R,R,
Kyle Farmer,52,R,R,
Freddy Galvis,3,S,R,
Shortstop,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Jose Garcia,38,R,R,
Kyle Farmer,52,R,R,
Freddy Galvis,3,S,R,
Left Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Brian Goodwin,17,L,R,
Aristides Aquino,44,R,R,
Center Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Nick Senzel,15,R,R,
Right Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Nick Castellanos,2,R,R,
Shogo Akiyama,4,L,R,
Brian Goodwin,17,L,R,
Michael Lorenzen,21,R,R,
Designated Hitter,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Jesse Winker,33,L,L,
Bullpen,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
Raisel Iglesias,26,R,R,
Amir Garrett,50,R,L,
Archie Bradley,23,R,R,
Michael Lorenzen,21,R,R,
Lucas Sims,39,R,R,
Tejay Antone,70,R,R,
Robert Stephenson,55,R,R,
Sal Romano,47,L,R,
Anthony DeSclafani,28,R,R,
exit
