Rotation,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
Shane Bieber,57,R,R,
Carlos Carrasco,59,R,R,
Aaron Civale,43,R,R,
Zach Plesac,34,R,R,
Catcher,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Roberto Pérez,55,R,R,
Sandy León,9,S,R,
Austin Hedges,17,R,R,
First Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Carlos Santana,41,S,R,
Mike Freeman,6,L,R,
Second Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Cesar Hernandez,7,S,R,
Mike Freeman,6,L,R,
Yu Chang,2,R,R,
Third Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
José Ramírez,11,S,R,
Mike Freeman,6,L,R,
Yu Chang,2,R,R,
Shortstop,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Francisco Lindor,12,S,R,
Mike Freeman,6,L,R,
Yu Chang,2,R,R,
Left Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Josh Naylor,31,L,L,
Jordan Luplow,8,R,R,
Franmil Reyes,32,R,R,
Delino DeShields,0,R,R,
Center Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Delino DeShields,0,R,R,
Oscar Mercado,35,R,R,
Right Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Tyler Naquin,30,L,R,
Josh Naylor,31,L,L,
Jordan Luplow,8,R,R,
Delino DeShields,0,R,R,
Designated Hitter,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Franmil Reyes,32,R,R,
Bullpen,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
Brad Hand,33,L,L,
Adam Plutko,45,R,R,
James Karinchak,99,R,R,
Nick Wittgren,62,R,R,
Oliver Pérez,39,L,L,
Phil Maton,88,R,R,
Cal Quantrill,38,L,R,
Cam Hill,27,R,R,
Triston McKenzie,26,R,R,
Kyle Nelson,63,L,L,
Logan Allen,54,R,L,
exit
