Rotation,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
Germán Márquez,48,R,R,
Kyle Freeland,21,L,L,
Antonio Senzatela,49,R,R,
Ryan Castellani,38,R,R,
Chi Chi González,50,R,R,
Jon Gray,55,R,R,
Peter Lambert,23,R,R,
Catcher,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Tony Wolters,14,L,R,
Elias Díaz,35,R,R,
Drew Butera,6,R,R,
First Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Josh Fuentes,8,R,R,
Daniel Murphy,9,L,R,
Ryan McMahon,24,L,R,
Second Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Ryan McMahon,24,L,R,
Garrett Hampson,1,R,R,
Chris Owings,12,R,R,
Brendan Rodgers,7,R,R,
Third Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Nolan Arenado,28,R,R,
Ryan McMahon,24,L,R,
Garrett Hampson,1,R,R,
Shortstop,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Trevor Story,27,R,R,
Garrett Hampson,1,R,R,
Chris Owings,12,R,R,
Left Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Raimel Tapia,15,L,L,
Sam Hilliard,22,L,L,
David Dahl,26,L,R,
Center Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Kevin Pillar,11,R,R,
David Dahl,26,L,R,
Sam Hilliard,22,L,L,
Raimel Tapia,15,L,L,
Right Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Charlie Blackmon,19,L,L,
Sam Hilliard,22,L,L,
David Dahl,26,L,R,
Designated Hitter,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Matt Kemp,25,R,R,
Raimel Tapia,15,L,L,
Daniel Murphy,9,L,R,
Charlie Blackmon,19,L,L,
Bullpen,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
Daniel Bard,52,R,R,
Jairo Díaz,37,R,R,
Chi Chi González,50,R,R,
Jeff Hoffman,34,R,R,
Tyler Kinley,40,R,R,
Mychal Givens,60,R,R,
Carlos Estévez,54,R,R,
Joe Harvey,30,R,R,
Antonio Santos,46,R,R,
Tommy Doyle,59,R,R,
Jesus Tinoco,32,R,R,
exit
