Rotation,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
Matthew Boyd,48,L,L,
Tarik Skubal,29,L,L,
Casey Mize,12,R,R,
Michael Fulmer,32,R,R,
Spencer Turnbull,56,R,R,
Iván Nova,43,R,R,
Catcher,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Austin Romine,7,R,R,
Eric Haase,13,R,R,
First Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Jeimer Candelario,46,S,R,
Brandon Dixon,9,R,R,
Harold Castro,30,L,R,
Second Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Jonathan Schoop,8,R,R,
Niko Goodrum,28,S,R,
Harold Castro,30,L,R,
Sergio Alcántara,40,S,R,
Third Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Isaac Paredes,19,R,R,
Harold Castro,30,L,R,
Brandon Dixon,9,R,R,
Shortstop,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Willi Castro,49,S,R,
Niko Goodrum,28,S,R,
Harold Castro,30,L,R,
Left Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Christin Stewart,14,L,R,
Center Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Victor Reyes,22,S,R,
Derek Hill,54,R,R,
Harold Castro,30,L,R,
Right Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Daz Cameron,41,R,R,
Brandon Dixon,9,R,R,
Harold Castro,30,L,R,
Designated Hitter,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Miguel Cabrera,24,R,R,
Bullpen,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
Bryan Garcia,33,R,R,
Gregory Soto,65,L,L,
Buck Farmer,45,L,R,
José Cisnero,67,R,R,
Joe Jiménez,77,R,R,
Daniel Norris,44,L,L,
Tyler Alexander,70,R,L,
Rony García,51,R,R,
Nick Ramirez,63,L,L,
Jordan Zimmermann,27,R,R,
exit
