Rotation,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
Danny Duffy,41,L,L,
Brady Singer,51,R,R,
Kris Bubic,50,L,L,
Brad Keller,56,R,R,
Catcher,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Salvador Perez,13,R,R,
Cam Gallagher,36,R,R,
First Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Hunter Dozier,17,R,R,
Ryan McBroom,9,R,L,
Second Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Nicky Lopez,1,L,R,
Whit Merrifield,15,R,R,
Third Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Kelvin Gutierrez,16,R,R,
Maikel Franco,7,R,R,
Hunter Dozier,17,R,R,
Shortstop,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Adalberto Mondesi,27,S,R,
Nicky Lopez,1,L,R,
Left Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Alex Gordon,4,L,R,
Franchy Cordero,19,L,R,
Edward Olivares,14,R,R,
Nick Heath,0,L,L,
Center Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Edward Olivares,14,R,R,
Whit Merrifield,15,R,R,
Nick Heath,0,L,L,
Right Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Whit Merrifield,15,R,R,
Franchy Cordero,19,L,R,
Hunter Dozier,17,R,R,
Jorge Soler,12,R,R,
Edward Olivares,14,R,R,
Designated Hitter,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Ryan McBroom,9,R,L,
Jorge Soler,12,R,R,
Maikel Franco,7,R,R,
Ryan O'Hearn,66,L,L,
Bullpen,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
Greg Holland,35,R,R,
Ian Kennedy,31,R,R,
Jesse Hahn,32,R,R,
Kyle Zimmer,45,R,R,
Tyler Zuber,53,R,R,
Scott Barlow,58,R,R,
Jake Newberry,68,R,R,
Glenn Sparkman,57,R,R,
Chance Adams,48,R,R,
Matt Harvey,33,R,R,
Foster Griffin,60,R,L,
Scott Blewett,64,R,R,
Mike Montgomery,21,L,L,
Jakob Junis,65,R,R,
exit
