Rotation,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
Sandy Alcantara,22,R,R,
Pablo López,49,L,R,
Sixto Sánchez,73,R,R,
José Ureña,62,R,R,
Trevor Rogers,95,L,L,
Elieser Hernandez,57,R,R,
Daniel Castano,72,L,L,
Braxton Garrett,94,L,L,
Catcher,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Jorge Alfaro,38,R,R,
Chad Wallach,17,R,R,
Francisco Cervelli,29,R,R,
First Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Jesús Aguilar,24,R,R,
Garrett Cooper,26,R,R,
Lewin Díaz,68,L,L,
Second Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Jon Berti,5,R,R,
Jazz Chisholm,70,L,R,
Isan Díaz,1,L,R,
Logan Forsythe,11,R,R,
Third Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Brian Anderson,15,R,R,
Jon Berti,5,R,R,
Shortstop,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Miguel Rojas,19,R,R,
Jazz Chisholm,70,L,R,
Left Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Corey Dickerson,23,L,R,
Lewis Brinson,25,R,R,
Magneuris Sierra,34,L,L,
Center Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Starling Marte,6,R,R,
Monte Harrison,4,R,R,
Harold Ramirez,47,R,R,
Magneuris Sierra,34,L,L,
Right Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Matt Joyce,7,L,R,
Lewis Brinson,25,R,R,
Magneuris Sierra,34,L,L,
Designated Hitter,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Bullpen,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
Brandon Kintzler,27,R,R,
Brad Boxberger,33,R,R,
Yimi García,93,R,R,
Richard Bleier,35,L,L,
James Hoyt,39,R,R,
Ryne Stanek,55,R,R,
Nick Vincent,44,R,R,
Josh A. Smith,58,R,R,
Jordan Holloway,78,R,R,
Jeff Brigham,43,R,R,
Brandon Leibrandt,86,L,L,
Brian Moran,60,L,L,
Mike Morin,48,R,R,
Drew Steckenrider,71,R,R,
Stephen Tarpley,37,R,L,
Pat Venditte,46,L,S,
Robert Dugger,64,R,R,
Daniel Castano,72,L,L,
Nick Neidert,59,R,R,
exit
