Rotation,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
Brandon Woodruff,53,L,R,
Adrian Houser,37,R,R,
Corbin Burnes,39,R,R,
Brett Anderson,25,L,L,
Josh Lindblom,29,R,R,
Catcher,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Omar Narváez,10,L,R,
Jacob Nottingham,26,R,R,
David Freitas,20,R,R,
First Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Jedd Gyorko,5,R,R,
Jace Peterson,14,L,R,
Daniel Vogelbach,21,L,R,
Ryon Healy,28,R,R,
Second Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Keston Hiura,18,R,R,
Luis Urías,2,R,R,
Jace Peterson,14,L,R,
Third Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Luis Urías,2,R,R,
Eric Sogard,7,L,R,
Jace Peterson,14,L,R,
Ryon Healy,28,R,R,
Shortstop,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Orlando Arcia,3,R,R,
Luis Urías,2,R,R,
Eric Sogard,7,L,R,
Jedd Gyorko,5,R,R,
Left Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Christian Yelich,22,L,R,
Jace Peterson,14,L,R,
Tyrone Taylor,15,R,R,
Center Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Avisaíl García,24,R,R,
Ben Gamel,16,L,L,
Tyrone Taylor,15,R,R,
Right Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Ryan Braun,8,R,R,
Ben Gamel,16,L,L,
Avisaíl García,24,R,R,
Tyrone Taylor,15,R,R,
Bullpen,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
Josh Hader,71,L,L,
Brent Suter,35,L,L,
Freddy Peralta,51,R,R,
Drew Rasmussen,43,R,R,
Alex Claudio,58,L,L,
Devin Williams,38,R,R,
Ray Black,50,R,R,
Eric Yardley,57,R,R,
Corey Knebel,46,R,R,
Justin Topa,56,R,R,
exit
