Rotation,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
José Berríos,17,R,R,
Jake Odorizzi,12,R,R,
Randy Dobnak,68,R,R,
Kenta Maeda,18,R,R,
Rich Hill,44,L,L,
Michael Pineda,35,R,R,
Catcher,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Mitch Garver,8,R,R,
Ryan Jeffers,39,R,R,
Alex Avila,16,L,R,
First Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Miguel Sanó,22,R,R,
Marwin Gonzalez,9,S,R,
LaMonte Wade Jr,30,L,L,
Ehire Adrianza,13,S,R,
Second Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Luis Arraez,2,L,R,
Marwin Gonzalez,9,S,R,
Ehire Adrianza,13,S,R,
Travis Blankenhorn,74,L,R,
Third Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Josh Donaldson,24,R,R,
Ehire Adrianza,13,S,R,
Marwin Gonzalez,9,S,R,
Travis Blankenhorn,74,L,R,
Shortstop,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Jorge Polanco,11,S,R,
Ehire Adrianza,13,S,R,
Left Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Eddie Rosario,20,L,R,
Jake Cave,60,L,L,
LaMonte Wade Jr,30,L,L,
Travis Blankenhorn,74,L,R,
Center Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Byron Buxton,25,R,R,
Jake Cave,60,L,L,
LaMonte Wade Jr,30,L,L,
Right Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Max Kepler,26,L,L,
Jake Cave,60,L,L,
Marwin Gonzalez,9,S,R,
LaMonte Wade Jr,30,L,L,
Designated Hitter,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Nelson Cruz,23,R,R,
Eddie Rosario,20,L,R,
Bullpen,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
Taylor Rogers,55,L,L,
Sergio Romo,54,R,R,
Tyler Duffey,21,R,R,
Tyler Clippard,36,R,R,
Trevor May,65,R,R,
Matt Wisler,37,R,R,
Jorge Alcala,66,R,R,
Caleb Thielbar,72,R,L,
Cody Stashak,61,R,R,
Sean Poppen,71,R,R,
exit
