Rotation,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
Jacob deGrom,48,L,R,
Rick Porcello,22,R,R,
Seth Lugo,67,R,R,
David Peterson,77,L,L,
Catcher,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Wilson Ramos,40,R,R,
Robinson Chirinos,26,R,R,
First Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Pete Alonso,20,R,R,
Dominic Smith,2,L,L,
Todd Frazier,21,R,R,
Second Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Jeff McNeil,6,L,R,
Robinson Canó,24,L,R,
Luis Guillorme,13,L,R,
Andrés Giménez,60,L,R,
Third Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
J.D. Davis,28,R,R,
Todd Frazier,21,R,R,
Luis Guillorme,13,L,R,
Andrés Giménez,60,L,R,
Shortstop,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Andrés Giménez,60,L,R,
Amed Rosario,1,R,R,
Luis Guillorme,13,L,R,
Left Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Dominic Smith,2,L,L,
Jeff McNeil,6,L,R,
J.D. Davis,28,R,R,
Brandon Nimmo,9,L,R,
Center Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Brandon Nimmo,9,L,R,
Jake Marisnick,16,R,R,
Guillermo Heredia,15,R,L,
Right Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Michael Conforto,30,L,R,
Brandon Nimmo,9,L,R,
Designated Hitter,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Robinson Canó,24,L,R,
Dominic Smith,2,L,L,
J.D. Davis,28,R,R,
Todd Frazier,21,R,R,
Bullpen,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
Edwin Díaz,39,R,R,
Jeurys Familia,27,R,R,
Chasen Shreve,47,L,L,
Justin Wilson,38,L,L,
Miguel Castro,50,R,R,
Jared Hughes,35,R,R,
Brad Brach,29,R,R,
Erasmo Ramírez,43,R,R,
Steven Matz,32,R,L,
Michael Wacha,45,R,R,
Dellin Betances,68,R,R,
Corey Oswalt,55,R,R,
exit
