Rotation,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
Gerrit Cole,45,R,R,
Masahiro Tanaka,19,R,R,
J.A. Happ,33,L,L,
Jordan Montgomery,47,L,L,
Deivi García,83,R,R,
James Paxton,65,L,L,
Luis Severino,40,R,R,
Catcher,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Gary Sánchez,24,R,R,
Kyle Higashioka,66,R,R,
Erik Kratz,38,R,R,
First Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Luke Voit,59,R,R,
DJ LeMahieu,26,R,R,
Second Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
DJ LeMahieu,26,R,R,
Tyler Wade,14,L,R,
Thairo Estrada,71,R,R,
Third Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Gio Urshela,29,R,R,
DJ LeMahieu,26,R,R,
Tyler Wade,14,L,R,
Shortstop,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Gleyber Torres,25,R,R,
Tyler Wade,14,L,R,
Thairo Estrada,71,R,R,
Left Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Brett Gardner,11,L,L,
Mike Tauchman,39,L,L,
Clint Frazier,77,R,R,
Tyler Wade,14,L,R,
Center Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Aaron Hicks,31,S,R,
Brett Gardner,11,L,L,
Mike Tauchman,39,L,L,
Tyler Wade,14,L,R,
Right Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Aaron Judge,99,R,R,
Mike Tauchman,39,L,L,
Clint Frazier,77,R,R,
Tyler Wade,14,L,R,
Designated Hitter,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Giancarlo Stanton,27,R,R,
Clint Frazier,77,R,R,
Bullpen,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
Aroldis Chapman,54,L,L,
Zack Britton,53,L,L,
Adam Ottavino,0,S,R,
Chad Green,57,L,R,
Jonathan Holder,56,R,R,
Luis Cessa,85,R,R,
Nick Nelson,79,R,R,
Jonathan Loaisiga,43,R,R,
Ben Heller,61,R,R,
Tyler Lyons,58,L,L,
Tommy Kahnle,48,R,R,
exit
