Rotation,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
Mike Fiers,50,R,R,
Sean Manaea,55,R,L,
Frankie Montas,47,R,R,
Jesús Luzardo,44,L,L,
Chris Bassitt,40,R,R,
Catcher,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Sean Murphy,12,R,R,
Jonah Heim,37,S,R,
First Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Matt Olson,28,L,R,
Mark Canha,20,R,R,
Vimael Machín,39,L,R,
Second Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Tommy La Stella,3,L,R,
Chad Pinder,18,R,R,
Nate Orf,45,R,R,
Third Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Jake Lamb,4,L,R,
Chad Pinder,18,R,R,
Vimael Machín,39,L,R,
Shortstop,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Marcus Semien,10,R,R,
Vimael Machín,39,L,R,
Nate Orf,45,R,R,
Left Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Robbie Grossman,8,S,L,
Tony Kemp,5,L,R,
Chad Pinder,18,R,R,
Center Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Ramón Laureano,22,R,R,
Robbie Grossman,8,S,L,
Tony Kemp,5,L,R,
Mark Canha,20,R,R,
Chad Pinder,18,R,R,
Right Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Stephen Piscotty,25,R,R,
Robbie Grossman,8,S,L,
Tony Kemp,5,L,R,
Chad Pinder,18,R,R,
Designated Hitter,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Khris Davis,2,R,R,
Bullpen,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
Liam Hendriks,16,R,R,
T.J. McFarland,38,L,L,
Lou Trivino,62,R,R,
J.B. Wendelken,57,R,R,
Jordan Weems,70,L,R,
Jake Diekman,35,L,L,
Yusmeiro Petit,36,R,R,
Joakim Soria,48,R,R,
Mike Minor,23,R,L,
James Kaprielian,56,R,R,
exit
