Rotation,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
Aaron Nola,27,R,R,
Zack Wheeler,45,L,R,
Jake Arrieta,49,R,R,
Zach Eflin,56,R,R,
Vince Velasquez,21,R,R,
Catcher,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
J.T. Realmuto,10,R,R,
Andrew Knapp,5,S,R,
Rafael Marchan,13,S,R,
First Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Rhys Hoskins,17,R,R,
Alec Bohm,28,R,R,
Phil Gosselin,8,R,R,
Jay Bruce,9,L,L,
Second Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Scott Kingery,4,R,R,
Jean Segura,2,R,R,
Phil Gosselin,8,R,R,
Third Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Jean Segura,2,R,R,
Alec Bohm,28,R,R,
Phil Gosselin,8,R,R,
Shortstop,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Didi Gregorius,18,L,R,
Jean Segura,2,R,R,
Scott Kingery,4,R,R,
Phil Gosselin,8,R,R,
Left Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Andrew McCutchen,22,R,R,
Jay Bruce,9,L,L,
Kyle Garlick,23,R,R,
Roman Quinn,24,S,R,
Adam Haseley,40,L,L,
Center Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Roman Quinn,24,S,R,
Adam Haseley,40,L,L,
Scott Kingery,4,R,R,
Right Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Bryce Harper,3,L,R,
Roman Quinn,24,S,R,
Adam Haseley,40,L,L,
Kyle Garlick,23,R,R,
Designated Hitter,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Phil Gosselin,8,R,R,
Andrew McCutchen,22,R,R,
Jay Bruce,9,L,L,
J.T. Realmuto,10,R,R,
Bullpen,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
Brandon Workman,44,R,R,
Héctor Neris,50,R,R,
David Phelps,31,R,R,
Heath Hembree,43,R,R,
David Hale,41,R,R,
Tommy Hunter,96,R,R,
JoJo Romero,79,L,L,
Blake Parker,53,R,R,
Adam Morgan,46,L,L,
Garrett Cleavinger,66,R,L,
Ramón Rosso,60,R,R,
Spencer Howard,48,R,R,
Ranger Suárez,55,L,L,
exit
