Rotation,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
Joe Musgrove,59,R,R,
Trevor Williams,34,R,R,
Chad Kuhl,39,R,R,
Steven Brault,43,L,L,
JT Brubaker,65,R,R,
Mitch Keller,23,R,R,
Catcher,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Jacob Stallings,58,R,R,
John Ryan Murphy,18,R,R,
First Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Josh Bell,55,S,R,
Colin Moran,19,L,R,
Second Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Adam Frazier,26,L,R,
Kevin Newman,27,R,R,
JT Riddle,15,L,R,
Third Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Ke'Bryan Hayes,13,R,R,
Erik González,2,R,R,
JT Riddle,15,L,R,
Colin Moran,19,L,R,
Shortstop,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Kevin Newman,27,R,R,
Erik González,2,R,R,
Cole Tucker,3,S,R,
JT Riddle,15,L,R,
Left Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Bryan Reynolds,10,S,R,
Jared Oliva,76,R,R,
Adam Frazier,26,L,R,
Jason Martin,51,L,R,
JT Riddle,15,L,R,
Center Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Cole Tucker,3,S,R,
Bryan Reynolds,10,S,R,
Jared Oliva,76,R,R,
JT Riddle,15,L,R,
Jason Martin,51,L,R,
Right Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Gregory Polanco,25,L,L,
Cole Tucker,3,S,R,
Jared Oliva,76,R,R,
José Osuna,36,R,R,
Designated Hitter,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Colin Moran,19,L,R,
Josh Bell,55,S,R,
Gregory Polanco,25,L,L,
Bullpen,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
Richard Rodríguez,48,R,R,
Chris Stratton,46,R,R,
Nik Turley,71,L,L,
Geoff Hartlieb,32,R,R,
Sam Howard,54,R,L,
Derek Holland,45,S,L,
Nick Tropeano,72,R,R,
Dovydas Neverauskas,66,R,R,
Austin Davis,75,L,L,
Blake Cederlind,62,R,R,
exit
