Rotation,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
Mike Clevinger,52,R,R,
Dinelson Lamet,29,R,R,
Zach Davies,17,R,R,
Chris Paddack,59,R,R,
Catcher,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Austin Nola,22,R,R,
Jason Castro,11,L,R,
Luis Campusano,21,R,R,
First Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Eric Hosmer,30,L,L,
Austin Nola,22,R,R,
Jake Cronenworth,9,L,R,
Second Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Jake Cronenworth,9,L,R,
Jurickson Profar,10,S,R,
Austin Nola,22,R,R,
Greg Garcia,5,L,R,
Jorge Mateo,3,R,R,
Third Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Manny Machado,13,R,R,
Greg Garcia,5,L,R,
Austin Nola,22,R,R,
Shortstop,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Fernando Tatis Jr.,23,R,R,
Jake Cronenworth,9,L,R,
Jorge Mateo,3,R,R,
Left Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Tommy Pham,28,R,R,
Jurickson Profar,10,S,R,
Abraham Almonte,16,S,R,
Center Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Trent Grisham,2,L,L,
Jorge Mateo,3,R,R,
Abraham Almonte,16,S,R,
Right Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Wil Myers,4,R,R,
Jorge Mateo,3,R,R,
Abraham Almonte,16,S,R,
Designated Hitter,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Mitch Moreland,18,L,L,
Jurickson Profar,10,S,R,
Austin Nola,22,R,R,
Jason Castro,11,L,R,
Bullpen,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
Drew Pomeranz,15,R,L,
Trevor Rosenthal,47,R,R,
Emilio Pagán,14,L,R,
Tim Hill,25,R,L,
Dan Altavilla,57,R,R,
Pierce Johnson,36,R,R,
Javy Guerra,8,L,R,
Matt Strahm,55,R,L,
Garrett Richards,43,R,R,
Craig Stammen,34,R,R,
Adrian Morejon,50,L,L,
Austin Adams,54,R,R,
exit
