Rotation,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
Johnny Cueto,47,R,R,
Kevin Gausman,34,L,R,
Logan Webb,62,R,R,
Tyler Anderson,31,L,L,
Drew Smyly,18,L,L,
Catcher,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Joey Bart,21,R,R,
Chadwick Tromp,14,R,R,
Tyler Heineman,43,S,R,
First Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Brandon Belt,9,L,L,
Wilmer Flores,41,R,R,
Darin Ruf,33,R,R,
Second Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Donovan Solano,7,R,R,
Wilmer Flores,41,R,R,
Mauricio Dubón,1,R,R,
Third Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Evan Longoria,10,R,R,
Shortstop,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Brandon Crawford,35,L,R,
Mauricio Dubón,1,R,R,
Donovan Solano,7,R,R,
Daniel Robertson,2,R,R,
Left Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Alex Dickerson,12,L,L,
Mike Yastrzemski,5,L,L,
Darin Ruf,33,R,R,
Daniel Robertson,2,R,R,
Center Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Mauricio Dubón,1,R,R,
Mike Yastrzemski,5,L,L,
Right Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Mike Yastrzemski,5,L,L,
Austin Slater,13,R,R,
Steven Duggar,6,L,R,
Designated Hitter,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Wilmer Flores,41,R,R,
Darin Ruf,33,R,R,
Alex Dickerson,12,L,L,
Austin Slater,13,R,R,
Bullpen,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
Caleb Baragar,73,R,L,
Jarlin García,76,L,L,
Tony Watson,56,L,L,
Sam Coonrod,65,R,R,
Tyler Rogers,71,R,R,
Sam Selman,67,R,L,
Trevor Gott,58,R,R,
Trevor Cahill,53,R,R,
Shaun Anderson,64,R,R,
Wandy Peralta,60,L,L,
Reyes Moronta,54,R,R,
exit
