Rotation,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
Marco Gonzales,7,L,L,
Yusei Kikuchi,18,L,L,
Justus Sheffield,33,L,L,
Justin Dunn,35,R,R,
Nick Margevicius,52,L,L,
Ljay Newsome,74,R,R,
Catcher,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Joseph Odom,54,R,R,
Joe Hudson,57,R,R,
First Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Evan White,12,R,L,
Ty France,23,R,R,
José Marmolejos,26,L,L,
Second Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Ty France,23,R,R,
Dee Strange-Gordon,9,L,R,
Tim Lopes,10,R,R,
Dylan Moore,25,R,R,
Shed Long Jr.,4,L,R,
Third Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Kyle Seager,15,L,R,
Ty France,23,R,R,
Dylan Moore,25,R,R,
Shortstop,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
J.P. Crawford,3,L,R,
Dee Strange-Gordon,9,L,R,
Donovan Walton,31,L,R,
Dylan Moore,25,R,R,
Left Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Jake Fraley,8,L,L,
José Marmolejos,26,L,L,
Dee Strange-Gordon,9,L,R,
Dylan Moore,25,R,R,
Braden Bishop,5,R,R,
Center Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Kyle Lewis,1,R,R,
Phillip Ervin,20,R,R,
Jake Fraley,8,L,L,
Dylan Moore,25,R,R,
Braden Bishop,5,R,R,
Right Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Phillip Ervin,20,R,R,
Jake Fraley,8,L,L,
Donovan Walton,31,L,R,
Tim Lopes,10,R,R,
Dylan Moore,25,R,R,
Braden Bishop,5,R,R,
Designated Hitter,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Tim Lopes,10,R,R,
José Marmolejos,26,L,L,
Ty France,23,R,R,
Bullpen,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
Yoshihisa Hirano,6,R,R,
Kendall Graveman,49,R,R,
Joey Gerber,59,R,R,
Yohan Ramirez,55,R,R,
Anthony Misiewicz,38,R,L,
Brady Lail,62,R,R,
Casey Sadler,37,R,R,
Walker Lockett,73,R,R,
Erik Swanson,50,R,R,
Brandon Brennan,65,R,R,
exit
