Rotation,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
Jack Flaherty,22,R,R,
Adam Wainwright,50,R,R,
Carlos Martínez,18,R,R,
Kwang Hyun Kim,33,L,L,
Johan Oviedo,59,R,R,
Catcher,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Yadier Molina,4,R,R,
Matt Wieters,32,S,R,
First Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Paul Goldschmidt,46,R,R,
Rangel Ravelo,47,R,R,
Second Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Kolten Wong,16,L,R,
Brad Miller,15,L,R,
Tommy Edman,19,S,R,
Third Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Matt Carpenter,13,L,R,
Tommy Edman,19,S,R,
Brad Miller,15,L,R,
Shortstop,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Paul DeJong,11,R,R,
Tommy Edman,19,S,R,
Brad Miller,15,L,R,
Left Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Tyler O'Neill,41,R,R,
Lane Thomas,35,R,R,
Dylan Carlson,3,S,L,
Rangel Ravelo,47,R,R,
Austin Dean,0,R,R,
Center Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Harrison Bader,48,R,R,
Dylan Carlson,3,S,L,
Lane Thomas,35,R,R,
Right Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Lane Thomas,35,R,R,
Dexter Fowler,25,S,R,
Dylan Carlson,3,S,L,
Austin Dean,0,R,R,
Designated Hitter,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Bullpen,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
Ryan Helsley,56,R,R,
Austin Gomber,36,L,L,
John Gant,53,R,R,
Alex Reyes,29,R,R,
Génesis Cabrera,92,L,L,
Jake Woodford,40,R,R,
Seth Elledge,61,R,R,
Junior Fernández,44,R,R,
Andrew Miller,21,L,L,
Nabil Crismatt,74,R,R,
Giovanny Gallegos,65,R,R,
Kodi Whitley,38,R,R,
exit
