Rotation,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
Tyler Glasnow,20,L,R,
Blake Snell,4,L,L,
Josh Fleming,61,R,L,
Charlie Morton,50,R,R,
Catcher,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Mike Zunino,10,R,R,
Michael Perez,7,L,R,
Kevan Smith,44,R,R,
First Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Nate Lowe,35,L,R,
Mike Brosseau,43,R,R,
Second Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Joey Wendle,18,L,R,
Mike Brosseau,43,R,R,
Third Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Yoshi Tsutsugo,25,L,R,
Joey Wendle,18,L,R,
Mike Brosseau,43,R,R,
Nate Lowe,35,L,R,
Shortstop,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Willy Adames,1,R,R,
Joey Wendle,18,L,R,
Left Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Yoshi Tsutsugo,25,L,R,
Austin Meadows,17,L,L,
Brandon Lowe,8,L,R,
Center Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Kevin Kiermaier,39,L,R,
Manuel Margot,13,R,R,
Brett Phillips,14,L,R,
Right Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Hunter Renfroe,11,R,R,
Manuel Margot,13,R,R,
Austin Meadows,17,L,L,
Randy Arozarena,56,R,R,
Designated Hitter,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Austin Meadows,17,L,L,
Bullpen,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
Diego Castillo,63,R,R,
Aaron Loup,15,L,L,
Ryan Thompson,81,R,R,
Pete Fairbanks,29,R,R,
John Curtiss,84,R,R,
Aaron Slegers,57,R,R,
Nick Anderson,70,R,R,
Oliver Drake,47,R,R,
Cody Reed,21,L,L,
exit
