Rotation,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
Lance Lynn,35,S,R,
Kyle Gibson,44,R,R,
Jordan Lyles,24,R,R,
Wes Benjamin,75,R,L,
Kyle Cody,73,R,R,
Catcher,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Jose Trevino,56,R,R,
Jeff Mathis,2,R,R,
Sam Huff,74,R,R,
First Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Ronald Guzmán,11,L,L,
Derek Dietrich,32,L,R,
Second Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Rougned Odor,12,L,R,
Nick Solak,15,R,R,
Anderson Tejeda,71,S,R,
Third Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Isiah Kiner-Falefa,9,R,R,
Sherten Apostel,82,R,R,
Derek Dietrich,32,L,R,
Shortstop,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Elvis Andrus,1,R,R,
Anderson Tejeda,71,S,R,
Isiah Kiner-Falefa,9,R,R,
Left Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Nick Solak,15,R,R,
Eli White,76,R,R,
Willie Calhoun,5,L,R,
Shin-Soo Choo,17,L,L,
Center Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Leody Taveras,65,S,R,
Eli White,76,R,R,
Right Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Joey Gallo,13,L,R,
Eli White,76,R,R,
Designated Hitter,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Willie Calhoun,5,L,R,
Nick Solak,15,R,R,
Shin-Soo Choo,17,L,L,
Bullpen,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
Rafael Montero,48,R,R,
Jonathan Hernández,72,R,R,
Taylor Hearn,52,L,L,
Kolby Allard,39,L,L,
Jimmy Herget,64,R,R,
Brett Martin,59,L,L,
John King,79,L,L,
Jesse Chavez,30,R,R,
Demarcus Evans,67,R,R,
exit
