Rotation,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
Hyun Jin Ryu,99,R,L,
Taijuan Walker,0,R,R,
Matt Shoemaker,34,R,R,
Robbie Ray,38,L,L,
Tanner Roark,14,R,R,
Chase Anderson,22,R,R,
Nate Pearson,24,R,R,
Trent Thornton,57,R,R,
Catcher,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Danny Jansen,9,R,R,
Alejandro Kirk,85,R,R,
First Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Vladimir Guerrero Jr.,27,R,R,
Rowdy Tellez,44,L,L,
Travis Shaw,6,L,R,
Cavan Biggio,8,L,R,
Second Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Cavan Biggio,8,L,R,
Jonathan Villar,20,S,R,
Joe Panik,2,L,R,
Third Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Travis Shaw,6,L,R,
Joe Panik,2,L,R,
Shortstop,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Bo Bichette,11,R,R,
Jonathan Villar,20,S,R,
Joe Panik,2,L,R,
Left Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Lourdes Gurriel Jr.,13,R,R,
Center Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Randal Grichuk,15,R,R,
Jonathan Davis,49,R,R,
Right Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Teoscar Hernández,37,R,R,
Cavan Biggio,8,L,R,
Jonathan Davis,49,R,R,
Derek Fisher,23,L,R,
Designated Hitter,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Vladimir Guerrero Jr.,27,R,R,
Teoscar Hernández,37,R,R,
Alejandro Kirk,85,R,R,
Bullpen,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
Ken Giles,51,,R,R,
Anthony Bass,52,R,R,
Jordan Romano,68,R,R,
Rafael Dolis,41,R,R,
Anthony Kay,47,L,L,
Shun Yamaguchi,1,R,R,
A.J. Cole,36,R,R,
Julian Merryweather,67,R,R,
Jacob Waguespack,62,R,R,
Ross Stripling,48,R,R,
Ryan Borucki,56,L,L,
Thomas Hatch,31,R,R,
T.J. Zeuch,35,R,R,
Patrick Murphy,66,R,R,
exit
