Rotation,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
Max Scherzer,31,R,R,
Patrick Corbin,46,L,L,
Aníbal Sánchez,19,R,R,
Austin Voth,50,R,R,
Erick Fedde,23,R,R,
Stephen Strasburg,37,R,R,
Catcher,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Kurt Suzuki,28,R,R,
Yan Gomes,10,R,R,
First Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Eric Thames,9,L,R,
Asdrúbal Cabrera,13,S,R,
Second Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Luis García,62,L,R,
Josh Harrison,5,R,R,
Asdrúbal Cabrera,13,S,R,
Third Base,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Carter Kieboom,8,R,R,
Asdrúbal Cabrera,13,S,R,
Brock Holt,27,L,R,
Josh Harrison,5,R,R,
Shortstop,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Trea Turner,7,R,R,
Brock Holt,27,L,R,
Luis García,62,L,R,
Left Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Juan Soto,22,L,L,
Andrew Stevenson,17,L,L,
Brock Holt,27,L,R,
Josh Harrison,5,R,R,
Michael A. Taylor,3,R,R,
Yadiel Hernandez,29,L,R,
Center Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Victor Robles,16,R,R,
Michael A. Taylor,3,R,R,
Brock Holt,27,L,R,
Yadiel Hernandez,29,L,R,
Right Field,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Adam Eaton,2,L,L,
Michael A. Taylor,3,R,R,
Andrew Stevenson,17,L,L,
Brock Holt,27,L,R,
Josh Harrison,5,R,R,
Designated Hitter,NUM,BATS,THROWS,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING
Eric Thames,9,L,R,
Asdrúbal Cabrera,13,S,R,
Yadiel Hernandez,29,L,R,
Brock Holt,27,L,R,
Bullpen,NUM,BATS,THROWS,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE
Daniel Hudson,44,R,R,
Will Harris,36,R,R,
Wander Suero,51,R,R,
Kyle Finnegan,67,R,R,
Ryne Harper,33,R,R,
Kyle McGowin,61,R,R,
James Bourque,64,R,R,
Ben Braymer,70,L,L,
Paolo Espino,52,R,R,
exit
